participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.settled_assets,player.available_assets,player.settled_cash,player.available_cash,group.id_in_subsession,group.ran_ready_function,subsession.round_number,subsession.period_length,subsession.num_assets,subsession.num_states,subsession.asset_endowments,subsession.cash_endowment,subsession.practice,subsession.x,subsession.G,subsession.L,subsession.p1,subsession.p2,subsession.p3,subsession.state,subsession.final_selected_round,subsession.num_rounds,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
4,r0fkpe3n,leeps_1,0,48,600,salience_market,FinalResults,2022-09-03 01:59:25.201581+00:00,1,,,10698,3,,1320,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1320,1134,1,2022-09-03 02:38:41.907513+00:00,8,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,5,8,dohz8amv,,,,,0
5,62nui3lo,leeps_2,0,48,600,salience_market,FinalResults,2022-09-03 01:59:44.615647+00:00,1,,,12024,8,,1514,"{'A': 0, 'B': 2}","{'A': 0, 'B': 0}",1274,183,1,2022-09-03 02:38:41.907513+00:00,8,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,5,8,dohz8amv,,,,,0
6,1mmds1y8,leeps_5,0,48,600,salience_market,FinalResults,2022-09-03 02:01:51.176754+00:00,1,,,11188,6,,1400,"{'A': 1, 'B': 1}","{'A': 1, 'B': 1}",1200,1200,1,2022-09-03 02:38:41.907513+00:00,8,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,5,8,dohz8amv,,,,,0
7,l0a5c6pi,leeps_4,0,48,600,salience_market,FinalResults,2022-09-03 02:02:25.776860+00:00,1,,,10789,4,,1488,"{'A': 5, 'B': 9}","{'A': 5, 'B': 9}",8,8,1,2022-09-03 02:38:41.907513+00:00,8,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,5,8,dohz8amv,,,,,0
8,7lt45fmp,leeps_3,0,48,600,salience_market,FinalResults,2022-09-03 02:06:05.093246+00:00,1,,,11374,5,,1345,"{'A': 4, 'B': 0}","{'A': 3, 'B': 0}",1025,925,1,2022-09-03 02:38:41.907513+00:00,8,240,2,2,2 2,1000,0,100,80,20,0.2,0,0.8,3,5,8,dohz8amv,,,,,0
1,y0toi78l,leeps_6,0,48,600,salience_market,FinalResults,2022-09-03 01:59:08.849080+00:00,1,,,11132,1,,0,,,,,1,,9,,,,,,,,,,,,,,-1,8,dohz8amv,,,,,0
2,bixvhvud,leeps_8,0,48,600,salience_market,FinalResults,2022-09-03 01:59:12.096038+00:00,1,,,11060,2,,0,,,,,1,,9,,,,,,,,,,,,,,-1,8,dohz8amv,,,,,0
3,xhmofnk9,leeps_7,0,48,600,salience_market,FinalResults,2022-09-03 01:59:17.037553+00:00,1,,,11335,3,,0,,,,,1,,9,,,,,,,,,,,,,,-1,8,dohz8amv,,,,,0
4,r0fkpe3n,leeps_1,0,48,600,salience_market,FinalResults,2022-09-03 01:59:25.201581+00:00,1,,,10698,4,,0,,,,,1,,9,,,,,,,,,,,,,,-1,8,dohz8amv,,,,,0
5,62nui3lo,leeps_2,0,48,600,salience_market,FinalResults,2022-09-03 01:59:44.615647+00:00,1,,,12024,5,,0,,,,,1,,9,,,,,,,,,,,,,,-1,8,dohz8amv,,,,,0
