"","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._current_page_name","participant.time_started","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.role","player.payoff","player.settled_assets","player.available_assets","player.settled_cash","player.available_cash","group.id_in_subsession","group.ran_ready_function","subsession.round_number","subsession.period_length","subsession.num_assets","subsession.num_states","subsession.asset_endowments","subsession.cash_endowment","subsession.practice","subsession.x","subsession.G","subsession.L","subsession.p1","subsession.p2","subsession.p3","subsession.state_independent","subsession.state_a","subsession.state_b","subsession.salient_payoff","subsession.final_selected_round","subsession.num_rounds","session.code","session.label","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo","subsession.asset_type"
"24",8,"x8nr6xqz","leeps_8",0,48,600,"salience_market","FinalResults","2022-08-31 02:01:45.222358+00:00",1,NA,NA,11443,6,NA,1551,"{'A': 5, 'B': 7}","{'A': 5, 'B': 7}",311,151,1,"2022-08-31 02:15:03.365568+00:00",3,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"25",1,"9yz398oh","leeps_2",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.514315+00:00",1,NA,NA,11102,5,NA,1420,"{'A': 3, 'B': 2}","{'A': 3, 'B': 2}",940,940,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"26",2,"ja1kh7s3","leeps_3",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.854936+00:00",1,NA,NA,11650,4,NA,1414,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1414,1414,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"27",3,"83manlr6","leeps_1",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:43.789261+00:00",1,NA,NA,11276,1,NA,1411,"{'A': 3, 'B': 4}","{'A': 3, 'B': 4}",691,266,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"28",4,"ljjipv4s","leeps_7",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:45.072481+00:00",1,NA,NA,11530,3,NA,1471,"{'A': 2, 'B': 3}","{'A': 1, 'B': 2}",951,870,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"29",5,"w4r6zk3w","leeps_5",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:50.678216+00:00",1,NA,NA,11025,6,NA,1329,"{'A': 4, 'B': 1}","{'A': 4, 'B': 1}",889,889,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"30",6,"i8aoxvpo","leeps_4",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:54.679748+00:00",1,NA,NA,11030,7,NA,1351,"{'A': 1, 'B': 0}","{'A': 0, 'B': 0}",1271,1116,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"31",7,"7r1iuu2s","leeps_6",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:59.606920+00:00",1,NA,NA,10544,2,NA,1301,"{'A': 0, 'B': 0}","{'A': 0, 'B': 0}",1301,1301,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"32",8,"x8nr6xqz","leeps_8",0,48,600,"salience_market","FinalResults","2022-08-31 02:01:45.222358+00:00",1,NA,NA,11443,8,NA,1503,"{'A': 3, 'B': 6}","{'A': 3, 'B': 6}",543,352,1,"2022-08-31 02:19:18.461170+00:00",4,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
"33",1,"9yz398oh","leeps_2",0,48,600,"salience_market","FinalResults","2022-08-31 02:00:39.514315+00:00",1,NA,NA,11102,1,NA,1445,"{'A': 1, 'B': 2}","{'A': 0, 'B': 2}",1125,1125,1,"2022-08-31 02:23:34.616840+00:00",5,240,2,3,"2 2",1000,0,100,80,20,0.1,0.5,0.4,0,3,3,0,-1,8,"1iefx832",NA,NA,NA,NA,0,"A and B"
